MacPro_data3_CLEAN
id,chords,release_date,genres,decade,rock_genre,artist_id,main_genre,spotify_song_id,spotify_artist_id,artist_name,artist_url,song_name,song_url,key,roman_numerals,I,ii,iii,IV,V,vi,viiø,I7,iiiø,II(7),#ivø,III(7),#vº,VI(7),#iº,VII(7),#iiº,V(7),viiº,i,iiø,bIII,iv,v,bVI,bVII,Other
620971,<verse_1> G C G D G C G D G C G D G C G D G <verse_2> C G D G C G D G C G C G D G C G D G C G <interlude_1> C G D G C G D G <verse_3> C G D G C G D G C G D G C G D G <interlude_2> C G D G C G D G <verse_4> C G D G C G D G C G C G D G C G D G C G,1976-09-01,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1970.000000,country rock,artist_2930,country,6LcswIqfOt9VxRlZ4AdLH8,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/6LcswIqfOt9VxRlZ4AdLH8,G Major,<verse_1> I IV I V I IV I V I IV I V I IV I V I <verse_2> IV I V I IV I V I IV I IV I V I IV I V I IV I <interlude_1> IV I V I IV I V I <verse_3> IV I V I IV I V I IV I V I IV I V I <interlude_2> IV I V I IV I V I <verse_4> IV I V I IV I V I IV I IV I V I IV I V I IV I,"45,45,0,0,0",,,"24,24,0,0,0","20,20,0,0,0",,,,,,,,,,,,,,,,,,,,,,
620972,<verse_1> E E7 A E E7 A <chorus_1> D E7 A Bmin E7 A Dmin G C F Dmin Dsdim E7 <verse_2> A E7 A E E7 A <chorus_2> D E7 A Bmin E7 A Dmin G C F Dmin Dsdim E7 <outro_1> A E7 A E7 A,1967-05-01,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1960.000000,country rock,artist_2930,country,1yb3uckZZkZ9w1QyJE9Dct,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/1yb3uckZZkZ9w1QyJE9Dct,A Major,<verse_1> V V7 I V V7 I <chorus_1> IV V7 I ii V7 I iv bVII bIII bVI iv IV bIII V7 <verse_2> I V7 I V V7 I <chorus_2> IV V7 I ii V7 I iv bVII bIII bVI iv IV bIII V7 <outro_1> I V7 I V7 I,"12,12,0,0,0","2,2,0,0,0",,"4,4,0,0,0","3,3,0,0,0",,,,,,,,,,,,,,,,,"4,4,0,0,0","4,4,0,0,0",,"2,2,0,0,0","2,2,0,0,0","12,12,0,0,0,12"
620973,<intro_1> F <verse_1> C F C F <chorus_1> C F C F <interlude_1> C F C F <verse_2> C F C F <chorus_2> C F C F <interlude_2> C F C F <verse_3> C F C F <chorus_3> C F C F <interlude_3> C F C F <verse_4> C F C F <chorus_4> C F C F <interlude_4> C F C F <verse_5> C F C F <chorus_5> C F C F <outro_1> C F,1976-09-01,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1970.000000,country rock,artist_2930,country,7jYxBSaSDatlEY6eV8pYG3,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/7jYxBSaSDatlEY6eV8pYG3,C Major,<intro_1> IV <verse_1> I IV I IV <chorus_1> I IV I IV <interlude_1> I IV I IV <verse_2> I IV I IV <chorus_2> I IV I IV <interlude_2> I IV I IV <verse_3> I IV I IV <chorus_3> I IV I IV <interlude_3> I IV I IV <verse_4> I IV I IV <chorus_4> I IV I IV <interlude_4> I IV I IV <verse_5> I IV I IV <chorus_5> I IV I IV <outro_1> I IV,"29,29,0,0,0",,,"30,30,0,0,0",,,,,,,,,,,,,,,,,,,,,,,
620974,<verse_1> A E7 A E7 A D A E7 A E7 A <interlude_1> E7 A E7 <verse_2> A E7 A E7 A D A E7 A E7 A E7 D A,1967-05-01,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',1960.000000,country rock,artist_2930,country,0SuuggOpwLJBlPHdSfjc5r,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/0SuuggOpwLJBlPHdSfjc5r,A Major,<verse_1> I V7 I V7 I IV I V7 I V7 I <interlude_1> V7 I V7 <verse_2> I V7 I V7 I IV I V7 I V7 I V7 IV I,"14,14,0,0,0",,,"3,3,0,0,0",,,,,,,,,,,,,,,,,,,,,,,"11,11,0,0,0,11"
620975,<intro_1> A7 D G <verse_1> E7 A7 D G7 G A7 D7 E7 D7 A7 D7 G7 <chorus_1> C A7 D7 G E7 A7 D7 G7 <interlude_1> E7 A7 D G A7 G7 G E7 G A7 D G7 <chorus_2> C A7 D G7 E7 A7 D7 G <outro_1> A7 D7 G,,'classic country pop' 'classic texas country' 'country' 'country rock' 'nashville sound' 'outlaw country' 'singer-songwriter',,country rock,artist_2930,country,0Mt7UFxCdP6wk8fcQX2TpY,5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/artist/5W5bDNCqJ1jbCgTxDD0Cb3,PENDING,https://open.spotify.com/track/0Mt7UFxCdP6wk8fcQX2TpY,D Major,<intro_1> V7 I IV <verse_1> ii7 V7 I IV7 IV V7 I7 ii7 I7 V7 I7 IV7 <chorus_1> bVII V7 I7 IV ii7 V7 I7 IV7 <interlude_1> ii7 V7 I IV V7 IV7 IV ii7 IV V7 I IV7 <chorus_2> bVII V7 I IV7 ii7 V7 I7 IV <outro_1> V7 I7 IV,"5,5,0,0,0",,,"8,8,0,0,0",,,,"7,7,0,0,0,7",,,,,,,,,,,,,,,,,,"2,2,0,0,0","24,24,0,0,0,24"
620976,<intro_1> Amin <verse_1> D Amin D Amin D Amin D G Emin D C D G Bmin C Amin D Bmin E Amin <verse_2> D Amin D Amin D Amin D G Emin D C D G Bmin C Amin D Bmin E Amin <verse_3> D Amin D Amin D Amin D G Emin D C D G Bmin C Amin D Bmin E Amin <outro_1> D Amin,1962-03-07,'american folk revival' 'folk',1960.000000,,artist_40049,country,7FbhHPctErK9GQt3k6Dplk,3qtcbDvdIgQOXkPbtRvBaQ,PENDING,https://open.spotify.com/artist/3qtcbDvdIgQOXkPbtRvBaQ,PENDING,https://open.spotify.com/track/7FbhHPctErK9GQt3k6Dplk,D Major,<intro_1> v <verse_1> I v I v I v I IV ii I bVII I IV vi bVII v I vi II v <verse_2> I v I v I v I IV ii I bVII I IV vi bVII v I vi II v <verse_3> I v I v I v I IV ii I bVII I IV vi bVII v I vi II v <outro_1> I v,"22,22,0,0,0","3,3,0,0,0",,"6,6,0,0,0",,"6,6,0,0,0",,,,,,,,,,,,,,,,,,"17,17,0,0,0",,"6,6,0,0,0","3,3,0,0,0"
620977,<intro_1> Emin <verse_1> Amin B7 Emin Amin B7 Emin <chorus_1> C D B/Ds Emin C D G B C D B/Ds Emin C Amin B7 <verse_2> Emin Amin B7 Emin <chorus_2> C D B/Ds Emin C D G B C D B/Ds Emin C Amin B <verse_3> Emin Amin B7 Emin Amin B7 Emin Amin B7 Emin Amin B7 Emin Amin B7 Emin C B Emin Amin B7 Emin,,,,,,,,,PENDING,https://open.spotify.com/artist/None,PENDING,https://open.spotify.com/track/None,E Minor,<intro_1> i <verse_1> iv v7 i iv v7 i <chorus_1> bVI bVII V/^b7 i bVI bVII bIII V bVI bVII V/^b7 i bVI iv v7 <verse_2> i iv v7 i <chorus_2> bVI bVII V/^b7 i bVI bVII bIII V bVI bVII V/^b7 i bVI iv V <verse_3> i iv v7 i iv v7 i iv v7 i iv v7 i iv v7 i bVI V i iv v7 i,,,,,"8,4,4,0,0",,,,,,,,,,,,,,,"17,17,0,0,0",,"2,2,0,0,0","11,11,0,0,0",,"9,9,0,0,0","6,6,0,0,0","10,10,0,0,0,10"
620978,<verse_1> G E7 Amin7 D7 G Emin B Fs7 B Bmaj7 D7 <verse_2> G E7 Amin7 D7sus4 G Emin A7 D7 G <verse_3> E7 Amin7 D7sus4 G Emin A7 D7 G Eb G,1959,'adult standards' 'rock-and-roll',1950.000000,rock-and-roll,artist_5741,rock,4iQOijvaFEmeBdszhByRYV,2nvKpWcP8etYTq4JrRiUiy,PENDING,https://open.spotify.com/artist/2nvKpWcP8etYTq4JrRiUiy,PENDING,https://open.spotify.com/track/4iQOijvaFEmeBdszhByRYV,G Major,<verse_1> I vi7 ii7 V7 I vi III bVII III III7 V7 <verse_2> I vi7 ii7 V7sus4 I vi ii7 V7 I <verse_3> vi7 ii7 V7sus4 I vi ii7 V7 I bVI I,"8,8,0,0,0",,,,,"3,3,0,0,0",,,,,,,,,,,,,,,,,,,"1,1,0,0,0","1,1,0,0,0","17,17,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,2"
620979,<intro_1> Amin F G C F Emin7/G Amin F G C F Emin7/G <verse_1> Ab C Ab Fmin C Ab C Ab Fmin C E <chorus_1> Amin F G C F Emin7/G Amin F G C <bridge_1> Ab F G Eb Db Ab F G Bb C Ab F G Eb Db Ab F G Bb C <verse_2> Ab C Ab Fmin C Ab C Ab Fmin C <bridge_2> Ab F G Eb Db Ab F G Bb C Ab F G Eb Db Ab F G Bb Fno3d,1980-10-15,'new romantic' 'new wave' 'new wave pop' 'synthpop' 'zolo',1970.000000,,artist_34206,pop,3FqIDhtYijFa24YpfdHUuE,3iUjRVvYCsMfz7tuAQtBDI,PENDING,https://open.spotify.com/artist/3iUjRVvYCsMfz7tuAQtBDI,PENDING,https://open.spotify.com/track/3FqIDhtYijFa24YpfdHUuE,C Major,<intro_1> vi IV V I IV iii7/^5 vi IV V I IV iii7/^5 <verse_1> bVI I bVI iv I bVI I bVI iv I III <chorus_1> vi IV V I IV iii7/^5 vi IV V I <bridge_1> bVI IV V bIII bII bVI IV V bVII I bVI IV V bIII bII bVI IV V bVII I <verse_2> bVI I bVI iv I bVI I bVI iv I <bridge_2> bVI IV V bIII bII bVI IV V bVII I bVI IV V bIII bII bVI IV V bVII IV,"15,15,0,0,0",,,"16,16,0,0,0","12,12,0,0,0","4,4,0,0,0",,,,,,,,,,,,,,,,"4,4,0,0,0","4,4,0,0,0",,"16,16,0,0,0","4,4,0,0,0","8,5,0,0,0,3"
620980,<verse_1> G D7 G C G A7 D7 D D7 <verse_2> G D7 G C G A7 G D G <verse_3> D7 G C G A7 D7 D D7 <verse_4> G D7 G C G A7 G D G C G D G,1983-01-01,'bush ballad',1980.000000,,artist_25190,,5S3Q4zH2vFL3YnREsNfFDm,5XlzNXPps5yZaOXJZQtC8l,PENDING,https://open.spotify.com/artist/5XlzNXPps5yZaOXJZQtC8l,PENDING,https://open.spotify.com/track/5S3Q4zH2vFL3YnREsNfFDm,G Major,<verse_1> I V7 I IV I ii7 V7 V V7 <verse_2> I V7 I IV I ii7 I V I <verse_3> V7 I IV I ii7 V7 V V7 <verse_4> I V7 I IV I ii7 I V I IV I V I,"17,17,0,0,0",,,"5,5,0,0,0","5,5,0,0,0",,,,,,,,,,,,,,,,,,,,,,"12,12,0,0,0,12"
