Harmonic_Profile_Slot,Mapped_Symbols,Notes
iv,"iv,iv+,iv+/A#,iv/A#,iv/B,iv/C,iv/C#,iv/D,iv/D#,iv/E,iv/F,iv/F#,iv/G#,iv/I,iv/V,iv/bIII,iv/bVI,iv/bVII,iv/i,iv/ii,iv/iii,iv/v,iv11,iv11/i,iv13,iv13/bVI,iv13/i,iv13/v,iv7,iv7/A,iv7/A#,iv7/B,iv7/C,iv7/C#,iv7/D,iv7/D#,iv7/F,iv7/G#,iv7/I,iv7/V,iv7/bIII,iv7/bVI,iv7/bVII,iv7/i,iv7/ii,iv7/v,iv7/vi,iv7sus2,iv7sus2/bIII,iv7sus4,iv7sus4/bIII,iv7sus4/bVII,iv9,iv9/A#,iv9/B,iv9/F#,iv9/V,iv9/bIII,iv9/bVI,iv9/i,iv9/v,iv9add9,iv9add9/C,iv9add9/I,ivsus4,ivsus4/bVI,ivsus4/bVII,ivsus4/i,ivsus4/v,iv°,iv°/I,iv°/V,iv°/bIII,iv°/bVI,iv°/bVII,iv°/vii,iv°7,iv°7/I,iv°7/vii","Minor iv chord and all extensions/slash chords"
v,"v,v+,v+/bIII,v/A#,v/B,v/C,v/C#,v/D,v/D#,v/E,v/F,v/F#,v/G,v/G#,v/I,v/IV,v/bIII,v/bVI,v/bVII,v/i,v/ii,v/iii,v/iv,v/vi,v/vii,v11,v11/F,v11/bVI,v11/i,v11/ii,v11/iv,v13,v13/E,v13/bVII,v13/i,v7,v7/A#,v7/B,v7/C,v7/C#,v7/E,v7/F,v7/G,v7/I,v7/IV,v7/bIII,v7/bVI,v7/bVII,v7/i,v7/ii,v7/iv,v7sus2,v7sus4,v7sus4/F,v7sus4/bVI,v7sus4/i,v7sus4/ii,v9,v9/C#,v9/D#,v9/E,v9/F,v9/I,v9/IV,v9/bVII,v9/ii,v9/iv,v9add9,v9add9/IV,vsus4,vsus4/F,vsus4/bVI,vsus4/bVII,vsus4/i,vsus4/ii,vsus4/iv,v°,v°/A#,v°/C,v°/D#,v°/IV,v°/bVII,v°/vi,v°/vii,v°7,v°7/G#,v°7/I,v°7/bVII,v°7/i,v°7/vi","Minor v chord and all extensions/slash chords"
bVI,"bVI,bVI+,bVI+/A#,bVI+/i,bVI/A,bVI/A#,bVI/B,bVI/C,bVI/C#,bVI/D,bVI/D#,bVI/E,bVI/F,bVI/F#,bVI/G,bVI/G#,bVI/I,bVI/IV,bVI/V,bVI/bIII,bVI/bVII,bVI/i,bVI/ii,bVI/iii,bVI/iv,bVI/v,bVI/vi,bVI/vii,bVI11,bVI11/v,bVI13,bVI13/bIII,bVI13/i,bVI7,bVI7/A#,bVI7/F#,bVI7/G#,bVI7/bIII,bVI7/bVII,bVI7/i,bVI7/iv,bVI7/v,bVI7sus2,bVI7sus4,bVI9,bVI9/bIII,bVI9/bVII,bVI9/i,bVI9/v,bVI9add9,bVIsus4,bVIsus4/bIII,bVI°,bVI°/V,bVI°/ii,bVI°/vi,bVI°7,bVI°7/D,bVI°7/i","Flat major VI chord and extensions"
bVII,"bVII,bVII+,bVII/A#,bVII/B,bVII/C,bVII/C#,bVII/D,bVII/D#,bVII/F,bVII/F#,bVII/G#,bVII/I,bVII/IV,bVII/V,bVII/bIII,bVII/bVI,bVII/i,bVII/ii,bVII/iii,bVII/iv,bVII/v,bVII/vi,bVII/vii,bVII11,bVII11/A#,bVII11/bIII,bVII11/i,bVII11/iv,bVII13,bVII13/F,bVII13/i,bVII13/ii,bVII13/iv,bVII13/v,bVII7,bVII7/A#,bVII7/D#,bVII7/F,bVII7/bIII,bVII7/bVI,bVII7/i,bVII7/ii,bVII7/iv,bVII7/v,bVII7sus2,bVII7sus4,bVII7sus4/iv,bVII9,bVII9/F,bVII9/i,bVII9/ii,bVII9/iv,bVII9/v,bVII9add9,bVII9add9/A#,bVIIsus4,bVIIsus4/F,bVIIsus4/v,bVII°,bVII°/F,bVII°/ii","Flat major VII chord and extensions"
I7,"I7,I7/A#,I7/C,I7/C#,I7/D,I7/D#,I7/E,I7/F,I7/G,I7/IV,I7/V,I7/bIII,I7/bVI,I7/bVII,I7/ii,I7/iii,I7/iv,I7/v,I7/vi,I7/vii,I7sus2,I7sus2/V,I7sus4,I7sus4/F,I7sus4/IV,I7sus4/V","Major I7 chord and extensions (non-diatonic)"
iiiø,"iii°,iii°/D#,iii°/I,iii°/V,iii°/ii,iii°7,iii°7/vi","Half-diminished iii chord and extensions"
II(7),"II,II/A,II/B,II/C,II/D,II/D#,II/E,II/F,II/G,II/I,II/IV,II/V,II/iii,II/vi,II/vii,II11,II7,II7/I,II7/IV,II7/iii,II7/vi,II9,II9/I","Major II chord and extensions (secondary dominant)"
#ivø,"#iv,#iv+,#iv/A#,#iv/B,#iv/C#,#iv/D,#iv/D#,#iv/F,#iv/F#,#iv/G#,#iv/bIII,#iv/bVI,#iv/bVII,#iv/i,#iv/ii,#iv/iv,#iv°","Sharpened minor iv chord and extensions"
III(7),"III,III+,III/A,III/B,III/C#,III/D,III/D#,III/E,III/F,III/F#,III/G#,III/I,III/IV,III/V,III/bIII,III/bVI,III/ii,III/iv,III/v,III/vi,III/vii,III13,III7,III7/C#,III7/I,III7/V,III7/ii,III7/vii,III9,III9/IV,III°","Major III chord and extensions (non-diatonic)"
#vº,"#v","Sharpened diminished v chord"
VI(7),"VI,VI+,VI/A#,VI/B,VI/C,VI/D,VI/D#,VI/E,VI/F,VI/G,VI/G#,VI/I,VI/IV,VI/V,VI/i,VI/ii,VI/iii,VI/iv,VI/v,VI/vii,VI7,VI7/I,VI7/V,VI7/ii,VI7/iii,VI7/vii,VI9,VI9/vii","Major VI chord and extensions (non-diatonic)"
#iº,"#i","Sharpened diminished i chord"
VII(7),"VII,VII+,VII/A#,VII/B,VII/C,VII/C#,VII/D#,VII/F#,VII/G#,VII/bIII,VII/bVII,VII/i,VII/ii,VII/iv,VII/v,VII°","Major VII chord and extensions (non-diatonic)"
#iiº,"#ii","Sharpened diminished ii chord"
V(7),"V(7)","Dominant V chord in minor key"
viiº,"vii°,vii°+,vii°+/B,vii°+/I,vii°+/IV,vii°/A,vii°/A#,vii°/B,vii°/C,vii°/C#,vii°/D#,vii°/G#,vii°/I,vii°/IV,vii°/V,vii°/ii,vii°/iii,vii°/vi,vii°11,vii°13,vii°13/ii,vii°7,vii°7/A,vii°7/C,vii°7/D,vii°7/D#,vii°7/E,vii°7/I,vii°7/IV,vii°7/ii,vii°7/iii,vii°7/vi,vii°7sus2,vii°7sus2/B,vii°7sus4,vii°7sus4/I,vii°9,vii°9/I,vii°9/ii,vii°9/vi,vii°9add9,vii°sus4,vii°sus4/IV","Fully diminished vii chord and extensions"
Other,"<bridge_1>,<bridge_2>,<bridge_3>,<bridge_4>,<bridge_5>,<bridge_6>,<bridge_7>,<bridge_8>,<bridge_9>,<chorus_10>,<chorus_11>,<chorus_12>,<chorus_13>,<chorus_14>,<chorus_15>,<chorus_16>,<chorus_17>,<chorus_18>,<chorus_1>,<chorus_2>,<chorus_3>,<chorus_4>,<chorus_5>,<chorus_6>,<chorus_7>,<chorus_8>,<chorus_9>,<instrumental_1>,<instrumental_2>,<instrumental_3>,<instrumental_4>,<instrumental_5>,<instrumental_6>,<interlude_1>,<interlude_2>,<interlude_3>,<interlude_4>,<interlude_5>,<interlude_6>,<interlude_7>,<interlude_8>,<intro_1>,<intro_2>,<intro_3>,<intro_4>,<outro_1>,<outro_2>,<outro_3>,<solo_1>,<solo_2>,<solo_3>,<solo_4>,<solo_5>,<solo_6>,<solo_7>,<verse_10>,<verse_11>,<verse_12>,<verse_13>,<verse_14>,<verse_15>,<verse_16>,<verse_17>,<verse_18>,<verse_1>,<verse_2>,<verse_3>,<verse_4>,<verse_5>,<verse_6>,<verse_7>,<verse_8>,<verse_9>","Section tags and unmapped symbols - edit for fringe cases" 
