cpml_snippet
chordonomicon_v2,,,,,,,,,
id,chords,release_date,genres,decade,rock_genre,artist_id,main_genre,spotify_song_id,spotify_artist_id
11,<intro_1> Cmaj7 C Cmaj7 C <verse_1> G D Emin D Emin Amin D G <chorus_1> C Cmaj7 C G Cmaj7 C Amin7 Emin <verse_2> G Cmaj7 C Amin7 <chorus_2> G C G C Amin7 G C Amin7 D <bridge_1> G C Amin C <chorus_3> G C G C Amin G <outro_1> Cmaj7 C Amin,2023-02-10,'modern country pop',2020.0,,artist_5,pop,6DneB3VYsHvIYdsfFoI1e6,4GGfAshSkqoxpZdoaHm7ky
12,<intro_1> G D Emin <verse_1> G D Emin G D Emin Amin G D Amin G D Emin D <chorus_1> Emin G D Amin Emin G D Amin Emin G D Amin C D G <interlude_1> D Emin <verse_2> G D Emin G D Emin Amin G D Amin G D Emin D <chorus_2> Emin G D Amin Emin G D Amin Emin G D Amin C D G D Amin <interlude_2> G D Amin <bridge_1> G D Amin C G D Amin C G D Amin C G D Amin C Emin D <chorus_3> Emin G D Amin Emin G D Amin Emin G D Amin C D G D Amin C G D Amin C <outro_1> G D Amin C G D Amin C G D Amin C G D Amin C G,2022-03-11,,2020.0,,artist_9,,7MMMb1Ir8VDMAAaIFXFxun,2VZVJbDLdInUuxHIZobsTh
13,<intro_1> D G D G D G D G D G D Bb C D G D Bb C D <verse_1> G D Bb C D G D Bb C G D G D Bb C D G D Bb C D <chorus_1> C G C A D C <interlude_1> D G D Bb C D G D Bb C D <verse_2> G D Bb C D G D Bb C D G D Bb C D G D Bb C D <chorus_2> C G C A D <interlude_2> A D A D A C D <outro_1> G D Bb C D G D Bb C D G D Bb C D G D Bb C D G D G D Bb C D G D Bb C D,2009-11-13,'australian alternative rock' 'australian rock',2000.0,australian alternative rock,artist_10,rock,3ouHmB2wtv5CzbsWlAGZzq,6LBCQo20ri3tsvbsWWLmr6
14,<intro_1> E G D A <verse_1> D A D A D A D A <chorus_1> E D A E D E D A Bmin D <verse_2> A D A D <chorus_2> E D A E D E D A Bmin D <bridge_1> E G D E G D <verse_3> A D A D E D A E D E D A D E D A E D E D A Bmin D,2011-09-20,'comic',2010.0,,artist_11,,3uKv45soturBZVumfsXoag,292sg99iIOc93zcd30r4Oz
15,Amin7 Emin Gmaj7 Amin Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B Cmaj7 Amin7 Cmaj7 Emin7 Cmaj7 Amin7 Cmaj7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B Amin7 Emin7 Fsmin Amin Fsmin Cmin B Cmaj7 Amin7 Emin7 Dmin7 Cmaj7 Amin Emin7 Dmin7 G7 Cmaj7 Amin7 Emin7 Dmin7 G7 Cmaj7 Amin7 Emin7 Dmin7 G7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B B7 Amin7 Emin7 Fsmin Amin Fsmin Cmin B B7 Amin7,2010-01-01,'canadian contemporary r&b' 'canadian pop' 'neo mellow',2000.0,,artist_12,soul,3a3Zhb4QJx7r3yxw4j9VVP,1uquUYtkdKei0zuhBY9P0t
16,<intro_1> D F C D F C D F C D F C D <verse_1> Emin D F C D F C D <verse_2> Emin D Emin <chorus_1> D C F G D C F G D C F G D C F G <interlude_1> A G A C <bridge_1> D Bb D Bb D <interlude_2> Bb D <chorus_1> Emin D C F G D C/E F G D F D F D F D F D F D F D F D F D,2000,'art punk' 'permanent wave' 'protopunk' 'singer-songwriter',1990.0,,artist_13,punk,2YNNsFj1otPsgN6nQus2So,0vYkHhJ48Bs3jWcvZXvOrP
17,<intro_1> C Bb C Bb F Bb F Bb <verse_1> G F Bb G F Bb G F Bb G F Bb <chorus_1> F <interlude_1> Bb F Bb <verse_2> G F Bb G F Bb G F Bb G F Bb <chorus_2> F <bridge_1> Bb C D Bb C D Bb C D Bb C D <chorus_3> F E A D E A D <verse_3> G F Bb G F Bb G F Bb G F Bb <chorus_4> F Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D Bb C D,2003-07-14,'britpop' 'permanent wave' 'rock' 'welsh rock',2000.0,welsh rock,artist_14,pop rock,0gyyXCNrJ2n4Et5iWYMWud,2uH0RyPcX7fnCcT90HFDQX
18,<intro_1> C F <verse_1> C G C G Amin F Amin F G <verse_2> C G C G Amin F Amin F G <chorus_1> F Amin G F Amin G Amin C <verse_3> G C G <chorus_2> F Amin G F Amin G Amin C G C F C F G C G C F C F G <chorus_3> F Amin G F Amin G Amin C F Amin G F Amin G Amin C G C F C F G C G C F C F G C G C F C F G C G C F C F G,2011-04-04,'album rock' 'classic rock' 'glam metal' 'hard rock' 'rock',2010.0,hard rock,artist_15,rock,0F5IyjfspYrgLfQLwojQxj,6fvN9GmMCVKb5LY0WsnjFP
19,<intro_1> Gsmin <verse_1> Fs Gsmin Fs B Fs Csmin E B Fs E <chorus_1> Gsmin E B Fs Gsmin E B Fs Gsmin <verse_2> Fs Gsmin Fs B Fs Csmin E B Fs E <chorus_2> Gsmin E B Fs Gsmin E B Fs Gsmin E B Fs Gsmin E B Fs <chorus_3> Gsmin E B Fs Gsmin E B Fs Gsmin,2022-03-04,,2020.0,,artist_16,,6MTGc6L8O2uvaWIUINmH93,67L6bntdsE71BxgM3S5rNo
20,<intro_1> Bb F C Bb F C <verse_1> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin F/A Bb F C Bb F C <chorus_1> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A <verse_2> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C Bb F C <chorus_2> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A <bridge_1> Bb F C Bb F C Bb F C Bb F C <chorus_3> Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F C F/A Bb F Dmin C Bb F Dmin C Bb F Dmin C Bb F Dmin F/A,2023-01-21,'lustrum',2020.0,,artist_17,,4PdGvl0Z3ZrD48jzfGe3ZK,5xHZomb43JFKXjX5ge7Pmz
